Time	vincentr21	Michael Tardibuono	bewuethr	Andrew Walker	danielshanker	ellen-h	Adam Harvie	Ricky Kwan
1543640502	23	?	?	?	?	?	?	?
1543640510	?	22	?	?	?	?	?	?
1543640534	?	?	21	?	?	?	?	?
1543640602	?	?	?	20	?	?	?	?
1543640674	?	?	?	?	19	?	?	?
1543640730	?	45	?	?	?	?	?	?
1543640737	?	?	?	?	?	18	?	?
1543640846	?	?	?	42	?	?	?	?
1543640991	?	?	42	?	?	?	?	?
1543641049	43	?	?	?	?	?	?	?
1543641956	?	?	?	?	38	?	?	?
1543665717	?	?	?	?	?	36	?	?
1543696270	?	?	?	?	?	?	17	?
1543698027	?	?	?	?	?	?	34	?
1543717714	?	?	?	?	?	?	?	16
1543718897	?	?	?	?	?	?	?	32
