Time	vincentr21	Michael Tardibuono	Benjamin Wuethrich	374494	Marc-François Cochaux-Laberge	Chuck Walker	Daniel Shanker	ellen-h	Stefan Tihanyi	dubyte	Thomas Fix	Adam Harvie	frigley1	Ricky Kwan	Noah Kipin	Peter Chau	Marie Payne
1543640502	51	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1543640510	?	50	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1543640534	?	?	49	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1543640538	?	?	?	48	?	?	?	?	?	?	?	?	?	?	?	?	?
1543640578	?	?	?	?	47	?	?	?	?	?	?	?	?	?	?	?	?
1543640602	?	?	?	?	?	46	?	?	?	?	?	?	?	?	?	?	?
1543640674	?	?	?	?	?	?	45	?	?	?	?	?	?	?	?	?	?
1543640730	?	101	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1543640737	?	?	?	?	?	?	?	44	?	?	?	?	?	?	?	?	?
1543640794	?	?	?	98	?	?	?	?	?	?	?	?	?	?	?	?	?
1543640846	?	?	?	?	?	95	?	?	?	?	?	?	?	?	?	?	?
1543640894	?	?	?	?	95	?	?	?	?	?	?	?	?	?	?	?	?
1543640991	?	?	96	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1543641049	97	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1543641428	?	?	?	?	?	?	?	?	43	?	?	?	?	?	?	?	?
1543641956	?	?	?	?	?	?	90	?	?	?	?	?	?	?	?	?	?
1543643271	?	?	?	?	?	?	?	?	87	?	?	?	?	?	?	?	?
1543643511	?	?	?	?	?	?	?	?	?	42	?	?	?	?	?	?	?
1543649889	?	?	?	?	?	?	?	?	?	?	41	?	?	?	?	?	?
1543650982	?	?	?	?	?	?	?	?	?	?	84	?	?	?	?	?	?
1543665717	?	?	?	?	?	?	?	86	?	?	?	?	?	?	?	?	?
1543696270	?	?	?	?	?	?	?	?	?	?	?	40	?	?	?	?	?
1543698027	?	?	?	?	?	?	?	?	?	?	?	81	?	?	?	?	?
1543712323	?	?	?	?	?	?	?	?	?	?	?	?	39	?	?	?	?
1543713044	?	?	?	?	?	?	?	?	?	?	?	?	79	?	?	?	?
1543717714	?	?	?	?	?	?	?	?	?	?	?	?	?	38	?	?	?
1543718897	?	?	?	?	?	?	?	?	?	?	?	?	?	77	?	?	?
1543726068	?	?	?	?	?	?	?	?	?	?	?	?	?	?	37	?	?
1543727038	?	?	?	?	?	146	?	?	?	?	?	?	?	?	?	?	?
1543727228	?	151	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1543727282	?	?	?	147	?	?	?	?	?	?	?	?	?	?	?	?	?
1543727286	?	?	?	?	?	?	?	?	?	?	?	?	127	?	?	?	?
1543727317	?	?	143	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1543727418	?	?	?	?	141	?	?	?	?	?	?	?	?	?	?	?	?
1543727644	?	?	?	198	?	?	?	?	?	?	?	?	?	?	?	?	?
1543727652	?	?	?	?	?	?	?	?	?	?	?	?	177	?	?	?	?
1543727735	?	?	?	?	190	?	?	?	?	?	?	?	?	?	?	?	?
1543727747	?	?	?	?	?	?	?	?	?	?	?	?	?	?	75	?	?
1543727801	?	?	?	?	?	194	?	?	?	?	?	?	?	?	?	?	?
1543727863	?	?	190	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1543727970	?	197	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1543728572	?	?	?	?	?	?	?	?	132	?	?	?	?	?	?	?	?
1543729106	?	?	?	?	?	?	?	?	177	?	?	?	?	?	?	?	?
1543729543	?	?	?	?	?	?	?	?	?	?	?	?	?	?	119	?	?
1543732690	?	?	?	?	?	?	?	?	?	?	?	?	?	?	163	?	?
1543732692	?	?	?	?	?	?	?	?	?	79	?	?	?	?	?	?	?
1543733007	?	?	?	?	?	?	?	?	?	?	?	?	?	120	?	?	?
1543733584	?	?	?	?	?	?	?	?	?	?	?	?	?	163	?	?	?
1543758249	?	?	?	?	?	?	?	?	?	?	?	123	?	?	?	?	?
1543759086	?	?	?	?	?	?	?	?	?	?	?	165	?	?	?	?	?
1543760757	?	?	?	?	?	?	131	?	?	?	?	?	?	?	?	?	?
1543761335	?	?	?	?	?	?	172	?	?	?	?	?	?	?	?	?	?
1543781950	?	?	?	?	?	?	?	?	?	119	?	?	?	?	?	?	?
1543806455	?	?	?	?	?	?	?	125	?	?	?	?	?	?	?	?	?
1543807903	?	?	?	?	?	?	?	165	?	?	?	?	?	?	?	?	?
