Time	Marie Payne	Pat Smuk	Michael Tardibuono	Benjamin Wuethrich	emmawilsonix	Jonathan Melcher	Daniel Shanker	Mike Burns	aydanjiwani	cameronouellette	Sam Leitch	kelly ma	mozesmagyar	Mark Armstrong	David McFadzean	dracoyunho	frigley1	Ricky Kwan	Derek Boucher	Chuck Walker	Peter Chau	Stefan Tihanyi
1638334927	50	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638334955	?	49	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638335057	100	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638335091	?	?	48	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638335140	?	98	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638335196	?	?	96	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638335319	?	?	?	47	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638335457	?	?	?	?	46	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638335491	?	?	?	94	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638335796	?	?	?	?	92	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638337529	?	?	?	?	?	45	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638340027	?	?	?	?	?	90	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638363680	?	?	?	?	?	?	44	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638363973	?	?	?	?	?	?	88	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638383257	?	?	?	?	?	?	?	43	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638384357	?	?	?	?	?	?	?	86	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1638386122	?	?	?	?	?	?	?	?	42	?	?	?	?	?	?	?	?	?	?	?	?	?
1638386705	?	?	?	?	?	?	?	?	84	?	?	?	?	?	?	?	?	?	?	?	?	?
1638396502	?	?	?	?	?	?	?	?	?	41	?	?	?	?	?	?	?	?	?	?	?	?
1638398957	?	?	?	?	?	?	?	?	?	82	?	?	?	?	?	?	?	?	?	?	?	?
1638403719	?	?	?	?	?	?	?	?	?	?	40	?	?	?	?	?	?	?	?	?	?	?
1638404690	?	?	?	?	?	?	?	?	?	?	80	?	?	?	?	?	?	?	?	?	?	?
