Time	Benjamin Wuethrich	akmalur	Swoozeki	jskrepnek	Pooneh	Eric Richardson
1543640534	8	?	?	?	?	?
1543640991	16	?	?	?	?	?
1543642261	?	7	?	?	?	?
1543642704	?	14	?	?	?	?
1543643910	?	?	6	?	?	?
1543644069	?	?	?	5	?	?
1543645067	?	?	?	11	?	?
1543690805	?	?	?	?	4	?
1543695881	?	?	?	?	9	?
1543704933	?	?	?	?	?	3
1543705747	?	?	?	?	?	7
1543715704	?	?	9	?	?	?
1543727317	24	?	?	?	?	?
1543727863	32	?	?	?	?	?
1543728876	?	21	?	?	?	?
1543730206	?	?	15	?	?	?
1543730942	?	?	22	?	?	?
1543730978	?	27	?	?	?	?
1543772966	?	?	?	?	14	?
1543776124	?	?	?	?	19	?
1543779656	?	?	?	?	?	11
1543783505	?	?	?	?	?	15
1543812686	?	?	?	14	?	?
1543814798	40	?	?	?	?	?
1543815556	?	?	?	17	?	?
1543816484	48	?	?	?	?	?
1543817982	?	34	?	?	?	?
1543818649	?	41	?	?	?	?
1543901690	56	?	?	?	?	?
1543902109	64	?	?	?	?	?
1543904342	?	48	?	?	?	?
1543905182	?	55	?	?	?	?
1543988770	72	?	?	?	?	?
1543989365	80	?	?	?	?	?
1544160071	88	?	?	?	?	?
1544164224	96	?	?	?	?	?
1544247712	104	?	?	?	?	?
1544248364	112	?	?	?	?	?
1544333092	120	?	?	?	?	?
1544339512	128	?	?	?	?	?
1544419429	136	?	?	?	?	?
1544419470	144	?	?	?	?	?
1544505208	152	?	?	?	?	?
1544506964	160	?	?	?	?	?
1544592399	168	?	?	?	?	?
1544592787	176	?	?	?	?	?
1544684986	184	?	?	?	?	?
1544686190	192	?	?	?	?	?
1544764432	200	?	?	?	?	?
1544765694	208	?	?	?	?	?
1544923064	216	?	?	?	?	?
1544925702	224	?	?	?	?	?
1544938378	232	?	?	?	?	?
1544940927	240	?	?	?	?	?
1545030107	248	?	?	?	?	?
1545030166	256	?	?	?	?	?
1545111406	264	?	?	?	?	?
1545112277	272	?	?	?	?	?
1545196793	280	?	?	?	?	?
1545200586	288	?	?	?	?	?
1545636058	296	?	?	?	?	?
1545637181	304	?	?	?	?	?
1545694190	312	?	?	?	?	?
1545706204	320	?	?	?	?	?
1545708246	328	?	?	?	?	?
1545715661	336	?	?	?	?	?
1545794781	344	?	?	?	?	?
1545860175	352	?	?	?	?	?
1545868360	360	?	?	?	?	?
1567388767	368	?	?	?	?	?
1567389443	376	?	?	?	?	?
1567389459	384	?	?	?	?	?
