Time	Benjamin Wuethrich	jermaine-koho
1575176881	8	?
1575177143	16	?
1575263571	24	?
1575263886	32	?
1575305357	?	7
1575308269	?	14
1575311383	?	21
1575314675	?	28
1575350808	40	?
1575351331	48	?
1575407874	?	35
1575413628	?	42
1575436130	56	?
1575437612	64	?
1575571241	?	49
1575574486	?	56
1575579134	?	64
1575581493	?	72
1575611017	72	?
1575612398	80	?
1575783117	88	?
1575783645	96	?
1575870500	103	?
1575871765	110	?
1596485148	118	?
1596507515	126	?
1596686268	134	?
1596686347	142	?
1596923884	150	?
1596937974	158	?
1597117016	166	?
1597203500	174	?
1597376918	182	?
1597467257	190	?
1597610069	198	?
1597614985	206	?
1598415498	214	?
1598416297	222	?
1598841040	230	?
1599104164	238	?
1599364036	246	?
1599798761	254	?
1600036393	262	?
