Time	David James	Benjamin Wuethrich	David	Devin	jramdass	Jeremy MacArthur	FrozenSake
1638335060	9	?	?	?	?	?	?
1638335284	18	?	?	?	?	?	?
1638335319	?	8	?	?	?	?	?
1638335491	?	16	?	?	?	?	?
1638369467	?	?	7	?	?	?	?
1638370198	?	?	14	?	?	?	?
1638381279	?	?	?	6	?	?	?
1638398811	?	?	?	?	5	?	?
1638399176	?	?	?	?	11	?	?
1638405144	?	?	?	11	?	?	?
1638406894	?	?	?	?	?	4	?
1638412087	?	?	?	?	?	8	?
1638413344	?	?	?	?	?	?	3
1638415154	?	?	?	?	?	?	6
1638421306	?	25	?	?	?	?	?
1638421448	?	34	?	?	?	?	?
1638421515	26	?	?	?	?	?	?
1638421592	34	?	?	?	?	?	?
1638421631	?	?	?	?	18	?	?
1638421863	?	?	?	?	25	?	?
1638422733	?	?	?	?	?	14	?
1638423029	?	?	?	?	?	20	?
1638425357	?	?	?	16	?	?	?
1638425666	?	?	?	21	?	?	?
1638452024	?	?	18	?	?	?	?
1638452189	?	?	22	?	?	?	?
1638480137	?	?	?	?	?	?	9
1638480242	?	?	?	?	?	?	12
1638508289	?	43	?	?	?	?	?
1638508311	42	?	?	?	?	?	?
1638508804	?	?	?	?	?	27	?
1638509095	51	?	?	?	?	?	?
1638509266	?	?	?	?	31	?	?
1638510909	?	?	?	26	?	?	?
1638511627	?	51	?	?	?	?	?
1638512087	?	?	?	?	38	?	?
1638512553	?	?	?	32	?	?	?
1638561389	?	?	26	?	?	?	?
1638577480	?	?	?	?	?	?	15
1638582341	?	?	31	?	?	?	?
1638589010	?	?	?	?	?	31	?
1638598583	?	?	?	41	?	?	?
1638598971	?	?	?	?	46	?	?
1638600365	?	?	?	50	?	?	?
1638603263	?	?	?	?	54	?	?
1638603788	58	?	?	?	?	?	?
1638604530	65	?	?	?	?	?	?
1638627270	?	?	37	?	?	?	?
1638627441	?	?	43	?	?	?	?
1638645055	?	?	?	?	?	?	20
1638647250	?	?	?	?	?	?	25
1638681874	74	?	?	?	?	?	?
1638682085	?	?	?	?	?	?	33
1638683193	?	?	?	?	61	?	?
1638684546	83	?	?	?	?	?	?
1638684665	?	?	?	?	69	?	?
1638685484	?	?	?	56	?	?	?
1638687096	?	?	?	63	?	?	?
1638688874	?	?	?	?	?	?	39
1638689083	?	?	?	?	?	?	42
1638767319	?	?	?	?	78	?	?
1638767712	91	?	?	?	?	?	?
1638768445	?	?	?	?	?	?	49
1638768815	100	?	?	?	?	?	?
1638770799	?	?	?	?	?	35	?
1638770981	?	?	?	?	?	39	?
1638811028	?	?	?	?	86	?	?
1638825787	?	?	?	69	?	?	?
1638843159	?	?	?	76	?	?	?
1638850339	?	?	48	?	?	?	?
1638850740	?	?	54	?	?	?	?
1638850945	?	?	59	?	?	?	?
1638850975	?	?	64	?	?	?	?
1638853819	109	?	?	?	?	?	?
1638854148	?	?	?	?	94	?	?
1638854431	118	?	?	?	?	?	?
1638854855	?	?	?	?	102	?	?
1638899226	?	?	?	83	?	?	?
1638899985	?	?	70	?	?	?	?
1638900056	?	?	?	90	?	?	?
1638909232	?	?	76	?	?	?	?
1638940739	?	?	?	?	111	?	?
1638941479	126	?	?	?	?	?	?
1638942588	135	?	?	?	?	?	?
1638985127	?	?	?	?	119	?	?
1638999601	?	?	?	97	?	?	?
1639008956	?	?	82	?	?	?	?
1639011392	?	?	89	?	?	?	?
1639026844	?	?	?	103	?	?	?
1639027603	?	?	?	?	128	?	?
1639027660	143	?	?	?	?	?	?
1639028321	152	?	?	?	?	?	?
1639029790	?	?	?	?	?	43	?
1639067292	?	?	?	110	?	?	?
1639069995	?	?	?	?	136	?	?
1639073694	?	?	?	117	?	?	?
1639100663	?	?	95	?	?	?	?
1639113484	?	?	?	?	145	?	?
1639114929	160	?	?	?	?	?	?
1639115439	169	?	?	?	?	?	?
1639117953	?	?	?	?	153	?	?
1639167643	?	?	?	124	?	?	?
1639168772	?	?	?	131	?	?	?
1639245568	?	?	101	?	?	?	?
1639245646	?	?	?	140	?	?	?
1639246145	?	?	?	149	?	?	?
1639246419	?	?	107	?	?	?	?
1639247450	?	?	113	?	?	?	?
1639337690	?	?	?	?	161	?	?
1639337910	?	?	?	?	169	?	?
1639410565	?	?	?	158	?	?	?
1639417543	?	?	?	167	?	?	?
1639426379	?	?	?	176	?	?	?
1639426535	?	?	?	185	?	?	?
1639515040	?	?	?	194	?	?	?
1639515373	?	?	?	203	?	?	?
1639589790	?	?	?	212	?	?	?
1639618899	?	?	121	?	?	?	?
1639619542	?	?	130	?	?	?	?
1639623086	?	?	138	?	?	?	?
1639623480	?	?	146	?	?	?	?
1639625428	?	?	154	?	?	?	?
1639625688	?	?	162	?	?	?	?
1639668329	?	?	?	220	?	?	?
1639765300	?	?	?	229	?	?	?
1639769938	?	?	?	238	?	?	?
1639780221	?	?	?	247	?	?	?
1639780508	?	?	?	256	?	?	?
1640270090	?	?	169	?	?	?	?
1640270270	?	?	176	?	?	?	?
1640452776	?	?	184	?	?	?	?
1640452929	?	?	192	?	?	?	?
1640453274	?	?	200	?	?	?	?
1640453757	?	?	209	?	?	?	?
1640455934	?	?	218	?	?	?	?
1640457895	?	?	227	?	?	?	?
1640459161	?	?	236	?	?	?	?
1640459929	?	?	245	?	?	?	?
1640477745	?	?	254	?	?	?	?
1640477806	?	?	263	?	?	?	?
1640478052	?	?	272	?	?	?	?
1640478285	?	?	280	?	?	?	?
1640491083	?	?	288	?	?	?	?
1640533963	?	?	296	?	?	?	?
1640549060	?	?	305	?	?	?	?
1640549421	?	?	314	?	?	?	?
1640553425	?	?	323	?	?	?	?
1640553480	?	?	332	?	?	?	?
1640554878	?	?	341	?	?	?	?
1640646093	?	?	350	?	?	?	?
1640646334	?	?	359	?	?	?	?
1640646360	?	?	368	?	?	?	?
1642139595	?	54	?	?	?	?	?
1642140246	?	57	?	?	?	?	?
1642301826	?	60	?	?	?	?	?
1642302010	?	64	?	?	?	?	?
1642373640	?	68	?	?	?	?	?
1642375539	?	73	?	?	?	?	?
1642377373	?	78	?	?	?	?	?
1642379446	?	83	?	?	?	?	?
1642391757	?	88	?	?	?	?	?
1642655252	?	93	?	?	?	?	?
1642825722	?	98	?	?	?	?	?
1642893006	?	103	?	?	?	?	?
